Blog	four	looking	second	here	k	reports	music	until	successful	example	want	wrong	wasn	service	project	tech	came	saying	rich	tips	best	country	asked	much	life	child	things	had	possible	right	old	o	support	happy	inside	team	along	love	fake	working	such	years	didn	investigation	internet	million	quite	open	city	future	russia	say	saw	note	take	knew	ways	going	between	roger	where	many	wants	photos	former	technology	summer	being	around	world	power	her	ad	certain	am	having	original	tv	th	case	large	small	past	full	hours	social	via	company	learn	states	its	always	found	really	research	director	major	number	obama	self	also	play	sometimes	cover	set	see	community	budget	rules	recent	person	amp	couple	d	continue	anything	link	line	posted	us	age	results	young	try	video	let	great	involved	makes	tools	next	process	high	doing	could	start	system	face	fact	bring	manchester	trying	should	hope	means	stuff	email	co	ve	off	less	web	government	five	become	places	details	monday	announced	told	word	work	order	office	then	them	network	created	another	john	away	com	speak	easy	information	photo	thanks	night	security	asking	post	months	available	way	war	update	together	guy	change	usually	live	https	car	heard	write	product	remember	still	half	down	james	year	space	shows	care	yourself	directly	than	online	price	america	only	concert	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	family	put	takes	taken	site	history	tried	help	actually	event	reason	ask	american	mobile	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	game	run	step	seeing	within	computer	russian	doesn	go	does	facebook	michael	camera	started	control	links	including	him	hands	times	data	attack	need	able	talk	based	course	she	state	key	police	problem	tuesday	party	well	lost	page	twitter	home	mdash	piece	education	stay	friends	companies	likely	even	ever	never	call	tell	room	give	point	quot	answer	president	before	personal	better	went	side	content	isn	features	mind	seen	seem	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	save	deal	dead	track	billion	daily	show	finally	did	sharing	making	may	man	maybe	nearly	nbsp	group	interesting	living	thing	think	long	little	were	especially	behind	black	morning	enough	reading	across	according	among	mark	those	different	pay	running	money	critical	videos	youtube	again	important	u	children	public	search	two	hour	share	coming	playing	through	same	good	everyone	house	hard	idea	done	least	statement	part	believe	b	build	services	find	please	simple	simply	create	meeting	understand	fun	itself	spent	spend	source	big	bit	google	often	back	giving	others	named	ago	private	account	ll	day	text	national	taking	almost	administration	thought	latest	ads	buy	minutes	special	under	every	school	would	phone	must	me	mr	keep	end	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	quickly	several	donald	election	everything	efforts	check	no	level	quick	says	goes	water	today	thousands	trump	needs	happened	name	turn	place	white	r	any	ideas	sure	later	federal	come	myself	someone	week	without	seems	blog	program	woman	worse	far	list	design	version	known	rather	short	might	health	feel	story	store	kind	added	nothing	his	wrote	art	intelligence	recently	c	became	questions	customers	question	called	users	once	issues	include	businesses	apple	app	use	few	women	something	united	six	instead	looks	york	conversation	which	who	why	ones	words	view	stories	job	april	perhaps	gets	percent	know	press	because	getting	own	made	whether	book
Signal v. Noise - Medium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	2	1	0	3	0	2	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	2	2	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	7	1	0	0	1	0	0	0	3	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	2	1	3	0	1	2	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	3	0	0	1	0	0	2	0	0	0	0	0	4	0	0	1	0	0	0
Schneier on Security	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	5	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	1	0	0	0	0	0	1	0	3	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0
Search Engine Roundtable	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
We Make Money Not Art	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Copyblogger	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	6	0	3	0	0	2	0	0	2	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	11	0	1	1	0	0	0	0	1	3	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	4	1	0	0	0	0	1	1	0	0	0	0	0	10	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	0
John Battelle's Search Blog	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	5	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	5	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	4	7	0	0	0	0	0	4	0	0	3	0	0	0	0	1	0	3	0	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	22	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	1	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	1	8	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	4	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	3	0	0	0	20	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	3	20	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	7	0	2	0	7	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	6	6	0	0	4	3	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Engadget RSS Feed	0	1	0	0	1	0	1	1	0	0	0	0	0	4	0	3	0	1	0	0	1	0	0	3	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0	4	0	0	0	1	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	1	0	3	0	1	1	2	0	0	0	0	0	1	0	1	0	1	1	0	3	0	0	0	0	5	0	2	16	0	0	0	0	0	1	0	0	1	1	2	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	5	0	0	0	1	2	0	0	0	1	1	2	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	1	2	0	0	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	0	2	1	0	0	0	1	0	1	1	3	0	0	0	0	1	0	2	1	2	2	4	4	0	0	0	2	2	2	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	0	3	0	1	0	0	0	0	2	0	1	0	0	0	2	1	1	1	0	0	2	1	0	0	0	0	3	0	2	0	1	0	0	0	0	1	0	1	6	0	1	2	1	0	0	0	0	0	3	0	2	0	1	1	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	1	1	0	2	0	2	0	0	2	1	0	2	2	0	0	0	0	0	2	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	2	1	1	0	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	2	0	0	2	0	2	1	1	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	4	3	3	0	0	0	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0
ThinkProgress - Medium	1	0	1	3	2	3	0	1	4	3	5	0	6	4	5	0	3	2	18	0	3	9	3	2	0	0	7	9	1	6	3	7	6	0	0	2	2	1	2	2	10	19	3	9	1	16	0	3	1	3	15	8	1	0	4	0	1	21	8	0	18	17	5	0	7	5	0	5	4	2	10	0	0	3	1	1	0	0	0	2	1	1	1	3	0	13	1	1	0	18	13	2	2	1	22	10	6	10	4	0	32	0	1	2	0	4	0	91	7	8	2	6	0	9	3	2	0	1	0	4	3	0	0	1	1	1	4	5	1	0	9	0	3	2	15	3	4	1	4	2	5	2	7	0	0	1	1	3	8	7	2	0	22	5	3	2	1	5	5	11	0	24	2	11	6	13	0	0	4	2	1	4	1	1	9	8	1	1	16	3	4	6	1	3	0	1	0	0	7	0	0	5	0	2	1	0	2	10	5	17	5	14	0	1	7	0	0	16	0	10	4	7	1	6	2	14	4	0	3	3	3	1	3	2	6	0	3	7	5	4	1	0	3	2	1	1	5	2	3	0	2	3	0	3	0	21	16	2	4	2	7	1	5	4	9	4	5	3	2	0	5	0	9	3	1	11	0	3	0	0	2	0	5	13	1	1	1	4	7	5	2	2	0	1	8	2	0	6	14	2	8	2	2	3	0	8	1	2	0	0	3	2	26	3	5	0	3	0	1	2	1	1	15	9	0	3	1	0	2	1	0	1	3	0	12	4	4	2	1	49	3	2	1	1	13	2	0	0	1	7	3	0	0	33	5	9	1	7	4	4	8	0	2	5	0	2	0	1	4	5	4	1	13	1	3	1	1	4	1	1	7	4	2	12	1	13	1	6	0	0	0	9	5	12	10	14	0	6	1	0	0	0	9	11	1	2	25	3	4	2	5	8	7	2	2	4	3	2	1	0	2	3	1	2	0	3	2	0	4	2	1	0	0	7	1	1	1	1	4	0	10	4	0	12	1	1	32	1	0	0	2	0	0	12	2	9	57	0	0	5	2	2	4	1	0	2	2	0	0	7	1	0	4	2	0	0	3	11	2	4	12	5	0	4	1	24	7	1	6	1	4	0	2	128	2	1	5	0	2	20	5	12	0	1	8	16	5	3	0	5	6	0	2	30	2	3	5	0	0	0	3	1	1	0	7	1	17	2	0	3	3	32	4	0	7	0	3	0	3	0	0	4	0	3	1	2	0	0	0	4	1	1	4	5	2	6	0	0	10	25	25	2	0	2	2	0	0	0	2	1	23	6	9	9	1	4	10	4	0
Wonkette	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SimpleBits	0	2	5	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	2	1	0	4	2	1	0	2	0	2	0	1	2	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	6	0	0	0	0	0	0	3	2	0	6	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	2	1	0	1	0	0	0	2	1	1	0	0	2	0	0	1	3	0	3	1	0	0	1	0	0	2	1	2	1	0	0	6	2	1	2	0	1	1	0	0	0	0	0	1	6	0	0	2	3	0	0	2	0	0	1	2	0	0	0	2	0	0	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	3	0	2	3	0	2	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	2	1	0	4	0	0	0	0	0	0	0	1	1	2	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	2	6	0	0	0	2	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	6	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	1	0	3	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	2	0	2	1	1	0	0	1	2	0	0	3	0	0	0	2	0	0	8	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	1	4	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	1	0	0	5	0	2	0	1	1	3	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	2	4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	8
